lat,lon
39.6940041,20.8221207
39.6939926,20.8220749
39.6939926,20.8220463
39.6939964,20.8220253
39.6939964,20.8220062
39.6939964,20.8220043
39.6939926,20.8220043
39.6939926,20.8220062
39.6939926,20.8220062
39.6939926,20.8220062
39.6939926,20.8220043
39.6939926,20.8220043
39.6939926,20.8220043
39.6939926,20.8220043
39.6939926,20.8220043
39.6939926,20.8220043
39.6939926,20.8220043
39.6939964,20.8220043
39.6939964,20.8220043
39.6939964,20.8220043
39.6939964,20.8220062
39.6939964,20.8220062
39.6939964,20.8220062
39.6939964,20.8219967
39.6939964,20.8220024
39.6939964,20.8220024
39.6939812,20.8220005
39.6939812,20.8220024
39.6939812,20.8220024
39.6939735,20.8219967
39.6939735,20.821991
39.6939735,20.821991
39.6939735,20.821991
39.6939735,20.821991
39.6939735,20.8219948
39.6939735,20.8219948
39.6939812,20.8219948
39.6939735,20.8219948
39.6939812,20.8219967
39.6939735,20.8219948
39.6939812,20.8219948
39.6939812,20.8219948
39.6939812,20.8219948
39.6939812,20.8219948
39.6939812,20.8219948
39.6939812,20.8219948
39.6939812,20.8219948
39.6939735,20.8220005
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939812,20.8219967
39.6939697,20.8219814
39.6939697,20.8219814
39.6939697,20.8219814
39.6939697,20.8219814
39.6939697,20.8219814
39.6939697,20.8219814
39.6939697,20.8219814
39.6939697,20.8219814
39.6939697,20.8219891
39.6939697,20.8219872
39.6939697,20.8219872
39.6939697,20.8219872
39.6939697,20.8219872
39.6939697,20.8219872
39.6939735,20.8219872
39.6939735,20.8219872
39.6939735,20.8219872
39.6939735,20.8219872
39.6939735,20.8219872
39.6939735,20.8219833
39.6939735,20.8219833
39.6939735,20.8219833
39.6939735,20.8219814
39.6939735,20.8219814
39.6939735,20.8219814
39.6939735,20.8219814
39.6939735,20.8219814
39.6939735,20.8219814
39.6939735,20.8219814
39.6939735,20.8219833
39.6939735,20.8219833
39.6939735,20.8219833
39.6939735,20.8219833
39.6939735,20.8219833
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8219967
39.6939735,20.8219967
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8219967
39.6939735,20.8219967
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939697,20.8220005
39.6939697,20.8220024
39.6939697,20.8220005
39.6939697,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939735,20.8220005
39.6939697,20.8220005
39.6939697,20.8220005
39.6939697,20.8220005
39.6939697,20.8220005
39.6939697,20.8220005
39.6939697,20.8220005
39.6939697,20.8220024
39.6939697,20.8220005
39.6939697,20.8220024
39.6939735,20.8220024
39.6939735,20.8220024
39.6939735,20.8220043
39.6939735,20.8220043
39.6939735,20.8220062
39.6939735,20.8220119
39.6939812,20.8220139
39.6939812,20.8220215
39.693985,20.8220291
39.6939964,20.8220348
39.6940002,20.8220387
39.6940041,20.8220463
39.6940117,20.8220596
39.6940193,20.822073
39.6940269,20.8220901
39.6940384,20.8221054
39.694046,20.8221245
39.6940536,20.8221436
39.6940689,20.8221645
39.6940804,20.8221912
39.6940994,20.822216
39.6941147,20.8222427
39.6941338,20.8222713
39.694149,20.8223057
39.6941719,20.8223362
39.694191,20.8223724
39.6942101,20.8224087
39.6942368,20.8224449
39.6942558,20.822485
39.6942787,20.822525
39.6943092,20.822567
39.6943321,20.8226109
39.694355,20.8226547
39.6943817,20.8227024
39.694416,20.822752
39.6944389,20.8227997
39.6944695,20.8228512
39.6945,20.8229065
39.6945305,20.8229618
39.694561,20.8230228
39.6945992,20.8230877
39.6946335,20.8231506
39.6946716,20.8232155
39.6947136,20.8232822
39.6947517,20.823349
39.6947975,20.8234196
39.6948471,20.8234882
39.6948891,20.8235531
39.6949425,20.8236122
39.6949921,20.8236694
39.6950531,20.8237095
39.6951141,20.8237438
39.6951752,20.8237629
39.6952362,20.8237743
39.6953049,20.8237629
39.6953773,20.82374
39.6954422,20.8237019
39.6955147,20.8236542
39.6955872,20.8235989
39.6956596,20.8235359
39.6957397,20.8234634
39.6958122,20.8233891
39.6958961,20.8233128
39.6959724,20.823225
39.6960678,20.8231277
39.6961555,20.82304
39.6962509,20.8229465
39.6963539,20.8228493
39.6964493,20.8227539
39.6965523,20.822649
39.6966515,20.822546
39.6967545,20.8224335
39.6968651,20.8223209
39.6969719,20.8222084
39.6970787,20.822094
